area,baths,beds,bathrooms,dining room,distance from airport (kms),drawing room,electricity backup,flooring,floors,kids play area,kitchens,lounge or sitting room,study room,waste disposal,price per sq yard,price,Flat,House,Lower Portion,Penthouse,Room,Upper Portion,Bahria Town Karachi,Cantt,Clifton,DHA Defence,Federal B Area,Gadap Town,Gulistan-e-Jauhar,Gulshan-e-Iqbal Town,Jamshed Town,Malir,North Nazimabad,Others,Scheme 33
84,1,1,0,0,0,0,1,1,0,0,0,0,0,1,141666,11900000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,1,1,0,0,0,0,0,0,0,1,0,0,0,0,142857,6000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,3,3,3,0,1,0,1,1,0,1,1,0,0,0,86772,16399999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
294,4,3,4,1,0,1,1,1,0,1,1,1,1,0,168367,49500000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
239,4,3,3,1,0,1,1,1,0,0,1,1,1,0,146443,35000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206,3,3,3,1,0,1,0,1,0,1,1,0,1,0,80097,16500000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350,4,4,4,1,0,1,0,0,0,0,0,0,0,0,71428,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,3,3,3,1,0,1,0,0,0,0,0,0,0,0,128000,16000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,3,3,3,1,0,1,1,1,0,0,1,0,0,0,135000,27000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,3,3,3,1,0,1,0,0,0,0,0,0,0,0,105263,16000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,3,3,3,1,0,1,1,1,0,0,1,0,0,0,121710,18500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,3,3,0,0,1,0,0,0,0,0,0,0,0,0,92500,18500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,4,4,0,1,1,1,0,0,0,1,0,1,0,1,80000,10000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,3,3,0,1,1,1,0,0,0,1,0,1,1,1,44871,7000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,4,4,6,1,1,1,1,1,1,1,1,1,1,1,60000,21000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,3,3,3,1,0,1,0,0,0,0,0,0,0,0,128000,16000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1,1,0,1,0,1,1,0,1,1,0,0,0,86362,5009000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,4,4,4,0,1,0,1,1,0,1,1,0,0,0,157333,11800000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
289,3,3,3,1,1,1,1,1,0,1,1,1,1,1,105536,30500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
289,3,3,3,1,1,1,1,1,0,1,1,1,1,1,117647,34000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,2,2,2,1,1,1,1,1,0,0,1,0,0,1,106194,12000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,2,2,2,1,0,1,0,0,0,0,1,0,0,0,70000,7000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,3,3,0,0,0,0,1,1,0,0,0,0,0,0,65693,9000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122,2,2,2,0,0,0,0,0,0,0,0,0,0,0,73770,9000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,2,2,2,0,0,0,0,0,0,0,0,0,0,0,89622,9500000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,3,3,0,0,0,0,1,1,0,0,0,0,0,0,148148,28000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,6,6,0,0,0,0,1,1,0,0,0,0,0,0,158333,38000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,3,3,0,0,0,0,1,1,0,0,0,0,0,0,103932,18500000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
222,4,3,0,0,0,0,1,1,0,1,0,0,0,0,168918,37500000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
